# Cosmetic and personal care ingredients: name | use
sodium lauryl sulfate | Anionic surfactant (cleanser, foaming)
p-phenylenediamine | Permanent hair dye (sensitizer)
resorcinol | Hair dye coupler
ammonium persulfate | Hair bleach booster
lawsone | Henna dye
ethanol | Solvent, astringent
isopropyl alcohol | Solvent, antiseptic
acetone | Nail polish remover
ethyl acetate | Nail polish solvent
butyl acetate | Nail polish solvent
nitrocellulose | Nail polish film former
toluene | Nail polish solvent (restricted)
formaldehyde | Nail hardener (restricted)
camphor | Fragrance, cooling agent
menthol | Cooling agent
eucalyptol | Fragrance, cooling agent
linalool | Fragrance (lavender)
geraniol | Fragrance (rose)
citronellol | Fragrance (rose)
limonene | Fragrance (citrus)
coumarin | Fragrance (hay/tonka)
eugenol | Fragrance (clove)
isoeugenol | Fragrance (sensitizer)
cinnamal | Fragrance (cinnamon)
hydroxycitronellal | Fragrance (lily)
benzyl benzoate | Fragrance fixative, scabicide
benzyl salicylate | Fragrance fixative
hexyl cinnamal | Fragrance (jasmine)
alpha-isomethyl ionone | Fragrance (violet)
beta-ionone | Fragrance (violet)
iso e super | Fragrance (woody)
galaxolide | Polycyclic musk
tonalide | Polycyclic musk
muscone | Macrocyclic musk
ambroxide | Fragrance (ambergris)
hedione | Fragrance (jasmine)
vanillin | Fragrance (vanilla)
phenethyl alcohol | Fragrance (rose)
diethyl phthalate | Fragrance solvent
diethyltoluamide | Insect repellent (DEET)
dihydroxyacetone | Self-tanning agent
erythrulose | Self-tanning agent
iron oxide black | Cosmetic pigment
ultramarine blue | Cosmetic pigment
chromium(iii) oxide | Green cosmetic pigment
bismuth oxychloride | Pearlescent pigment
mica | Shimmer pigment
talc | Absorbent powder
kaolin | Clay absorbent
bentonite | Clay thickener
magnesium aluminum silicate | Thickener
